,sentiment,content,polarity
89,worry, Im suppposed to be sleep But i got some much to do amp i got that one part of the song stuck in my head quotyour a jerk iknowquot  blaahh,negative
90,neutral,lepetitagneau whats going on sweetheart,neutral
91,neutral,How can it be so freaking difficult to get a systemwide spellchecker Shit Id settle for an office suite one Stupid unhelpful Windows,neutral
92,worry,Last one month due to summer strawberry is not availble in the Chennai markets,negative
93,neutral,willxxmobb work at 6am Gotta go to bed soon,neutral
94,love,RobertF3 correct I ADORE him I just plucked him up and put him under my arm cuz he was cryin  All better now Hahaha,positive
95,sadness,sweeetnspicy hiii im on my ipodi cant fall asleep,negative
96,sadness,dont wanna work 11830 tomorrow  but i get paid,negative
97,sadness,feels sad coz i wasnt able to play with the guys  httpplurkcompwxiux,negative
98,neutral,PrinceCharming,neutral
99,hate, cayogial i wanted to come to BZ this summer  not so sure anymore a teachers life in the summer SUCKS,negative
100,worry,First ever dropped call on my mobile On a call to Telstra no less  being charged for data even though I have a data pack  ,negative
101,hate,mrgenius23 You win  SIGH Rakeem,negative
102,neutral,Oh is that time for real,neutral
103,sadness,Darn these allergies I dont like this time of year because of this I never used to have this problem either,negative
104,worry,Oh no one minute too late Oh well,negative
105,hate,soviet_star Damn that sucks,negative
106,sadness,cayogial i wanted to come to BZ this summer  not so sure anymore a teachers life in the summer SUCKS,negative
107,hate,mileycyrus THIS WEBSITE GAVE ME A VIRUS When i opened it more windows kept POPPING up,negative
108,worry,ahh big scary bug flying around my room,negative
109,sadness,I wish she knew what she puts me throughShe stole my heart never gave it backand occasionally she likes to be like look what I have,negative
110,worry,is up with a nasty cough i cant be sick i have a huge weekend ahead of me,negative
111,neutral,justamedicine  That was stone cold   Crazy  ,neutral
112,boredom,im so tired,negative
113,neutral,shift time  bbye biochem waaaaahhhhhh httpplurkcompwxizo,neutral
114,neutral,melbournegirl Im sure some1 will cum out and play Im workin through til midnight,neutral
115,neutral,thecreativeone I second that I wish it rained more where I am,neutral
116,sadness,neesabear early happy day of birth in case I dont make it Very tired from therapy today n just taking my medicine  misshu Love ya,negative
117,neutral,damn it were is Eric or anyone else when you need your hair to be played with,neutral
118,neutral,Im feel deflated Ugh No more dog,neutral
119,sadness,Allergies suck ducks nuts     lt88gt,negative
120,neutral,Well it almost was a good day Guess I just retry tomorrow,neutral
121,hate,IamYeTe Waraku is tasteless and expensive Portion is so little  re waraku,negative
122,love,freepbx sounds good Appreciate the suggestion Been a week now and were still offline  Time to ask for a refund,positive
123,worry,poinktoinkdoink He died  Wait what about Magic Jack I just read it,negative
124,hate,britblackbird  youstinkatrespondingtotexts,negative
125,sadness,wonders why her Karma points turned into 000  httpplurkcompwxj54,negative
126,happiness,Need to pack for CALI CALI Cannot waittt Thinking a glass of wine is in order to celebrate my weekend vaca Still work 2morrow tho,positive
127,sadness,Is miserable  i feel like im gona cry  sux,negative
128,neutral,megturney well I ran out of beer so I left Not sure about the ETA Waiting waiting waiting Bleh  Gonna be a long nite methinks,neutral
129,worry, My nose stud fell out and I cant find it  Looks like Ill have to head into Amsterdam today and get a new one,negative
130,neutral,claire breakfastnt love the show got into the office  5am and no radio,neutral
131,love,Pats in philly at 2 am I love it Mmm cheesesteak  Miss my boyfriend   but I love vacation,positive
132,sadness,sigh Im going to bed I just dont feel right anymore,negative
133,neutral,What I focused on Tom so much I didnt see my beloved Barack Oh no I must vote for both Poor president only has 626 votes,neutral
134,neutral,jwillock EpiCentre Wheelock Place  tourists only,neutral
135,sadness,Now I am depressed after watching so you think you can dance,negative
136,sadness,Just cross cause Im stuck twiddling my thumbs now ugh,negative
137,neutral,miss 16th,neutral
138,neutral,TheHarvardian I know But like I said I have no idea how long it takes for them to investigate this stuff,neutral
139,worry,I cant sleep but im too sore to move,negative
140,neutral,LaFloozita httptwitpiccom4phze  Awe I miss my baby,neutral
141,empty,softtouchme just answered you never learned how to write in French just basic stuff,neutral
142,neutral,what is it with chocolates i just can never say no,neutral
143,worry,Achieving a new appreciation on how a xml build script can really be painful and cumbersome,negative
144,neutral,ether_radio im too awake now  ill have a nap this afternoon,neutral
145,worry,omfgiselle i cant do anything,negative
146,neutral,still needs another 6 hours of sleep,neutral
147,relief,Im at work,positive
148,fun,RIP leonardo You were a great mini fiddler crab,positive
149,neutral,Morning tweepleway to early again,neutral
150,sadness,Last day working for the Uni today sad times,negative
151,love,NisforNeemah thanks neemah Im gonna be soooo close to you and izzy yet so far,positive
152,worry,My head hurts so bad I could scream,negative
153,worry,i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain,negative
154,worry,New work wellness challenge not going well  I committed to not check email between 10 pm and 6 am  Failed on first day  Twice,negative
155,worry,New blog post Blog auto insuran I just found that my auto insurance policy had been expired  I am too careless    Meanw ,negative
156,neutral,where are all ma bestfriends at   MIA or wat ,neutral
157,worry,oh menI really cant see my facecmon guys,negative
158,worry,Im showing my age Renewed my tags last week went down 20 Got my insurance renewal email today went down 100 I dont wanna be old,negative
159,worry,my sole supporter is not my sole supporter,negative
160,hate,dont you hate it when you finish all your work and theres still 125 hours left of work time,negative
161,worry,Emilyyy16 urgh stop it guys,negative
162,sadness,is still missing her husband    I really want him home,negative
163,sadness,I miss my puppy,negative
164,surprise,2 days of this month left and I only have 400MB left on my onpeak downloads,positive
165,fun,IdleThumbs Up is out  I didnt get the memo   It looks amazing,positive
166,sadness,nzdeany Ive given up on pizza  kids would never let me have my fav  the hot ones,negative
167,worry,Up reading tabloids about other peoples livesthinking what Im gonna do with mine when my baby leaves,negative
168,sadness,BarbSchaefer yearling in pet home died very sad for their whole family,negative
169,neutral,fun in the sun hmmm hell no its cold,neutral
170,worry,I got a giant splinter stuck up underneath my finger nail today at Muppetsit hurt  But I got to go to First Aid for the first time,negative
171,sadness,heresmyhello92 We hate change so of course Were fans for life lt3 Oh and if we havent met Rob by then something went horribly wrong,negative
172,worry,is feeling sad for some reason  httpplurkcompwxji3,negative
173,sadness,well fuck this new pain med has an odd warning that actually applies to me i cant take this chan is displeased,negative
174,sadness,just uploaded my new blog a painful story about an 80s year old man who cried because he wanted to die very sad,negative
175,neutral,juneyee i dont think so  I WANT DETAILS,neutral
176,neutral,jackgraycnn Hi Who is Mary Poppins,neutral
177,worry,jaychuck Its so addicting but its kind of a curse to do them at night time Everytime i do one i feel like making music afterwards,negative
178,neutral,my last tweet didnt send  bad phone,neutral
179,fun,relly1  OMG Ur alive LOL  2day has gone sooo slow  Im going insane Grrr You doing anything tonight,positive
180,empty,Have a headache  Im going to bed Goodnight,neutral
181,neutral,taxidermi  I was watching Parental Control,neutral
182,fun,JessiJaeJoplin did you get them from california vintage ahahah they have the BEST dresses i want them but i dont have ebay,positive
183,sadness,I just saw pics from this past Thanksgiving and am sad because Grandma was in them,negative
184,worry,jertronic it wont let me,negative
185,sadness,Took a shift tomorrow    I dont really feel like working right now,negative
186,sadness,but now i have no money for a phone,negative
187,worry,Spent last night in AampE ER Wife tangled wheels with Daughter amp hit the deck Dislocation amp fracture resulted,negative
188,worry,TheLastDoctor 9 days  Im about ready to visit Torchwood and see if theyve heard anything,negative
189,surprise,Bern_morley where are you In Bris I cant hear any thunder,positive
190,surprise,bec vs fat food    winner  fat food  but not this weeknend ill beat it,positive
191,sadness,Too bad the Red Devils disappointing to say the least,negative
192,surprise,I had a dream about a pretty pretty beach and there was no beach when I woke up,positive
193,sadness,xdjio Have a 3ware 9650SE not fast enough for 3x X25M SSD RAID5 800Mhz IOP on the HPT Might try an Adaptec 5405 12Ghz,negative
194,surprise,when da heck will the garage man get here I ask you WHEN,positive
195,worry,Ate Mandy please forgive me I really am sorry I dont wanna lose my Bff,negative
196,hate,melluffsyew Umm yeah Thats probably a pretty good note to self because eeeeeewwwwwwww,negative
197,worry,why are plane tickets so expensive,negative
198,fun,wendyisastar melluffsyew Umm yeah Thats probably a pretty good note to self because eeeeeewwwwwwww,positive
199,worry,Needs a job BADLY,negative
200,sadness,AlexanderGWhite daaammmnnnnn I do wish I was there,negative
201,worry,Went to Di Bella coffee roasters today and asked for a job   The person I needed to speak to is on holiday  fb,negative
202,sadness,yuki_hime I played up until the latter parts of the voodoo village part coop until I lost my usual partner,negative
203,empty,DymeDiva23 Nite Now Im up n bored as opposed to almost sleep frm b 4,neutral
204,sadness,is a bad friend,negative
205,neutral,rlcpbiatch happy birthdayyy hope you have an awesome day didnt see you at next last night,neutral
206,hate,SparkDawgMusic im doing that shit right now  im on vacation and you got me workin,negative
207,neutral,aiderushton ill be over in an oir,neutral
208,neutral,only1kcj guess its a no go girlie Im still at the gym and work at 630am,neutral
209,hate,would wish the severe migrains would stop docs prescriptions arent working,negative
210,love,bobbyedner i missed the game,positive
211,sadness,moggy99 No internet last night ER was brill there was a massive explosion at the end of a nearby gas works ER on standby,negative
212,hate,tiffalo cuz airlines are super lame,negative
213,sadness,lenje  Still a pity it comes with no lamb though,negative
214,sadness,bloomsday16  Im sorry to hear that Here is my optimist Things will get better For all of us,negative
215,relief,is done painting all the bedroom furniture I still have to do the table but it will wait until after the move Uggh moving in the heat,positive
216,hate,Im so very tiredand have insomnia,negative
217,neutral,juiceegapeach A hungry fool Ill probably never see that Krispy Kreme again Had to enjoy it They closing down,neutral
218,neutral,yelgiuQnayR airport and you didnt show up tonight homo,neutral
219,hate,I hate Bakersfield and I hate the Ports let me go home already  I want to start my vacation,negative
220,neutral,MrRathbone what about me,neutral
221,neutral,Looking for desktop twitter app that will actually let you access URLs any suggestions I liked Twittle but no linking,neutral
222,worry,people in my house do not know how to close doors,negative
223,surprise,Why am I completing facebook quizzes at this time of the morning especially a friday morning,positive
224,neutral,out with lizzziemonster amp jamiejamess i am soooo hungry,neutral
225,worry,munchkinhugs I dont like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,negative
226,sadness,Had to cancel wow for now,negative
227,worry,wants to make a music profile but i dont have money i dont know how to write music i dont know how to play an instrument and no studio,negative
228,sadness,fairyfroggie But yeahIm sad about my quotRavenclawquot account I love that account to bits,negative
229,worry,Its 115 AM and I hear a helicopter flying over my house Thats kind of weird In other news my headache is back BOOOOO,negative
230,worry,__sugar oh no  i am always here  lt3,negative
231,neutral,back from school Ms Suhanas last day as our FT  OCU was okay Im playing ALTNOY over and over again,neutral
232,neutral, poll  was trying to get it to work in a powerpoint to no avail,neutral
233,happiness,took a math test today The day before the test the teacher says bring your calculator Luke was confident Teacher decided no calcs,positive
234,happiness,omg the concert was awesome madrigals gave me chills on almost every piecebrooks also called up alumni but i didnt get to go,positive
235,neutral,livestrongnj yeah its terrible  cockatoos are the hardest to live with so emotional good thing he found you though,neutral
236,sadness,Up late with nothin 2 do,negative
237,worry,i think the vog is making me sicker than i think feeling slightly achy,negative
238,empty,TheTombert i was watching Harpers Island lol there was no vodka involved,neutral
239,worry,i am doing homework it sux big time maths is the worst,negative
240,neutral,Nymo would have been better IMO if it let you play through all 3 songs provided I just start to quotget itquot and it blacks out,neutral
241,neutral,3wordsaftersex it never started,neutral
242,sadness,sometimes i wish things could go back to the way they were the beginning of last summer,negative
243,worry,I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets but no they didnt,negative
244,empty,tarng Trudys off Burnetthe one up north that no one goes to,neutral
245,sadness,kateisbored I feel the same way but I guess no matter where you are there will always be memes,negative
246,happiness,I Cant do 30 minutes of Treadmill  but done 30 minutes for today already gonna do 20 minutes more,positive
247,worry,im sooooooooooooo confused,negative
248,neutral,With friends like VaikONedumaran LTTE didnt need enemies Wrong advice at wrong time led to numerous deaths amp a lost cause as well,neutral
249,worry,Work day 7 of 7,negative
250,happiness,Chillin with the roomies Cant wait for the zombie CLWN CR Its gonna be 68 weeks,positive
251,neutral,I looove guitars and playing them I think they sound magnificent If only i was better If only,neutral
252,worry,SuperJerry No refunds but they do retrieve accounts takes like a week Just hoping the thief doesnt use hacks or then its permaban,negative
253,neutral,mysticnz no im not  cries LOL,neutral
254,sadness,Cute Malay girl came to seemy room for rent  sadly think it was for her guyfreind   bit misleading and disappointing LOL,negative
255,surprise,Gurlstrange EpiCentre Wheelock Place 250 units amp for tourists only Starting today,positive
256,hate,I hate the new mt dew commercialthe one with a giant mosquitoit scares me and grosses me out all at the same time,negative
257,neutral,Come on Knight Its been well over 4 hours,neutral
258,worry,not super keen on the drive home through the rain additional concentration required that i dont really wanna deal with,negative
259,surprise,FoxxFiles aw u cant let me in on the secret,positive
260,surprise,freshypanda Im sorry  I dont think I stick out at least compared to what I used to look like,positive
261,worry,no transport for church  wont be making it im crushed Oh well more time for assignments I suppose My throat really hurts ,negative
262,hate,i HATE when i see pregnant women smokinggg its sooo irresponsible n selfish its saaad ultimately the baby is the one who suffers,negative
263,hate,Liesliesliesyou just cant avoid to lie about practicallyEVERYTHING,negative
264,neutral,twittascope is NOT rocking my socks  go away already,neutral
265,neutral,Driving Back home because I forgot the piece of cake for v_era,neutral
266,worry,seemouserun so I tried jumping without the trampoline and its like thud thud  shouldnt have eaten that cookie  httpmylocme1XIz,negative
267,sadness,Everytime I send an email to my coach I feel a need to practice   shitty balls  Lol,negative
268,sadness,Its pissing me off and not letting me follow ericka,negative
269,sadness,Is going to sleep not peaceful  wanted to hear him say Good Night but that didnt happen  Good Night everyone,negative
270,sadness,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack i almost cried,negative
271,neutral,koifusionpdx i was so close to the tacosone spot too late,neutral
272,empty,msz_rockstar umm how bout emaint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin,neutral
273,surprise,is thinking so much and im at work,positive
274,worry,I have forgot the live with the Jonas Brothers on Facebook,negative
275,sadness,I havent seen Muffin in two whole days,negative
276,sadness,YumiFujii ill miss yall back give LesleyBoudy my regards,negative
277,surprise,my gap year is going so quick,positive
278,worry,I have to admit Im a bit bummed out that I wasnt with my friends walking today,negative
279,neutral,jennyvokals girl a blunt is soooooooo in my thoughts right now I had an absolutly GREAT day with a few stressorscome home,neutral
280,worry,my twitter has been hacked again,negative
281,sadness,Just found mj mouse flats at DJs Of course there are none left in my size,negative
282,neutral,passingcarss i wont have time to buy  and i need a new binder pa,neutral
283,hate,lanacaitlin  hahaha well its try its so ugly,negative
284,neutral,25man Ulduar is hard,neutral
285,worry,jmoriarty I dont even want to know WHY you know about VHEMT but dont go  wed miss you,negative
286,fun,OooChelcyooO Thats awesome We have that this weekend too but I cant go because Im moving this Sat  I should be a lot of fun though,positive
287,neutral,night night twitter world still cant believe the thomas thing  tomorrows gunna be FUNSAD,neutral
288,neutral,princess_oats this is happening to me too,neutral
289,surprise,qi_tah oh no  hugs,positive
290,neutral,oxygen8705 bored now because i was talking to someone but now theyre busy with something else  just kinda a bummer idk,neutral
291,sadness,xoshayzers i knoww  things wont be the samee lt3,negative
292,worry,OMGness its 1118 pm and I need to beup early to set up my garage sale it starts a 8am wish I said 9am Im beat,negative
293,happiness,vinylvickxen i kno i doooo yall partyin with out me,positive
294,worry,Okay so twitter suddenly changed how do I respond to messages now,negative
295,neutral,ugh my dad just told me to read an article about Kavya Shivashankar the spellin bee girland be more like her,neutral
296,worry,Decided that no matter how good my hair looks curly it doesnt justify the burn I get from the curler My hands covered  I suck at it,negative
297,sadness,Going to sleep Gonna fall asleep playing apps again Tmrw is going to suck,negative
298,neutral,ThaBillCollecta  YEA     I GOTTA BE UP AT 730,neutral
299,hate,I hate when my bf beats da dogs But I guess that the only way to teach these pitts,negative
300,worry,sprained my ankle  like really badly and tore some stuffs it hurts and its my birthday weekend,negative
301,sadness,I cant believe the Metal Gear Solid song was stolen    Im so disappointed  httpbitlyYKkSu,negative
302,hate,think i may have broke a toe at the bar tonightthanks drunk girl for steppin all over me,negative
303,neutral,Not one sale done today at work Explored balconies in the big theater w coworkers A fun day but void of chili fries and tips,neutral
304,sadness,MacZombieRawr  I wish I had Left 4 Dead But first Id need something to play it on,negative
305,neutral,sillybabyjulie me too,neutral
306,neutral,digenis that story reminds of living in Portugal,neutral
307,neutral,jhicks  youre diabetic   so is my dad  amp i might be too not sure  are you still allowed to eat sugar throughout the day,neutral
308,happiness,I spilled my beer all over my leg Wasted half my beer  Home now I met a cute girl Good conversation,positive
309,hate,my roommate tess_tickle loves to ignore me,negative
310,neutral,SuperFiasco  Ill make him nachos tomorrow Better than if he would have made them himself,neutral
311,neutral,MyDailyRoutine yeahhh ampdont judge my pillow,neutral
312,relief,Scary lightning and thunder  Im glad its over now Going to sleep I hope Im not late to school tomorow again Haha,positive
313,sadness,my teeth and head hurts,negative
314,sadness,I HATE rob zombie movies amp the smell of weed Vommmm,negative
315,hate,jcwentz Maths and Science were the strongest for me i thinkdunno bout geography only did like 1 day of study for 12 a year of work,negative
316,boredom,Waiting in line  tryst,negative
317,worry,Hope I get a job cuz we need an apartment Im drunk amp miss my lil punkin  TEHE,negative
318,worry,just got home not wanting to read the last chaper of breaking dawn cause i dont want it to beover,negative
319,worry,I need to be held  Gnite,negative
320,worry,Hanging out with sam billy and veronica not going to school tomorrow to take sam to body shops Dang car accidents,negative
321,sadness,no more arrested development i am sad,negative
322,neutral,Giggles_xo  wicked  what time you leaving how come you cant stay the night,neutral
323,sadness,omg i keep losing followers this is so sad  i want 90 one daythats my goal D,negative
324,sadness,I feel so deflated No more doggy,negative
325,worry,blood_rain i wanna see her hair  hows everyone,negative
326,sadness,I just had to empty my trash on the mac that was one of THE MOST DIFFICULT things I have ever done in my life 8000 pictures are GONE,negative
327,sadness,im contacting PAWS Philippines so i can find quottigerquot a new owner im so sad i love my dog soo much,negative
328,sadness,just got home not wanting to read the last chaper of breaking dawn cause i dont want it to be over,negative
329,worry,Aww  Pray for the arroyo family everyone,negative
330,neutral,the_babsi theres a manual process but its taking 4ever on my outlook database pffff crappy msft product,neutral
331,sadness,Fuuudge Movie store is closed,negative
332,sadness,ALO is so sad and quiet and empty tonight,negative
333,hate,meganmansyn Hahahaha Its not horrible if others were singing with Im sure it could work I wish I could afford my own drum set,negative
334,worry,wuzzyangel You never answered your DM I sent you   I need your info,negative
335,worry,Am trying to get through the pilot of the first season of friday night lights Oh gosh  Pass the tissue,negative
336,sadness,Mona26 Aw where are you headed to i just cancelled my trip to Aussie,negative
337,worry,I have cystic lacrimal infectection my eye and face are swollen and it hurts,negative
338,worry,jose3030 I didnt think anyone caught that,negative
339,empty,I need to be sleeping But im not even tired,neutral
340,empty,0,neutral
341,neutral,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE,neutral
342,neutral,lyin in bed up faaaaar too early,neutral
343,sadness,Sad that Christian Lacroix had to file bankruptcy,negative
344,sadness,I dont feel good AT ALL fuckkk,negative
345,boredom,why did i agree to work a double shift,negative
346,worry,looks like ill never go to the zoo,negative
347,worry,djvinceadams Ohh poor girl  Ill email her I am relying on you being here in October Mr,negative
348,neutral,When will Medhurst play again,neutral
349,worry,Moss1982 bad times,negative
350,hate,aarrgghh  fuka hose has leaked water all over the new floating floor,negative
351,sadness,Have to go to the dreaded DMV tomorrow,negative
352,neutral,duncm Im a bit Bens Thaied out,neutral
353,happiness,english class working on interactive orals,positive
354,worry,SharonHayes Thank you for the rec but that doesnt work,negative
355,neutral,dmoneymania  Im sorry Excited for tomorrow night Karaoke Getting anything special for bday,neutral
356,worry,My puppy Gizmo h8s me  haha He still growls  me  I always look back  my long pruple scar on my fingie,negative
357,worry,I dont know how ima work out tomorrow wit my body dis sore  ugh,negative
358,neutral,in 711  wo you,neutral
359,neutral,becjee Yeah plus its just a little too far to walk to Pinocchios for sushi,neutral
360,worry,Im feeling this pressure in my head that always kicks in just before a nasty headache Im not looking forward to this,negative
361,sadness,Taylor Swift and Joe Jonas looked really good together Im kinda sad they broke up,negative
362,worry,Im suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts,negative
363,worry,Lady across the way had a miscarriage say a prayer,negative
364,sadness,God I just want to sleep,negative
365,hate,ksutt11 ohhhh thunderstormsboo  why do they always have to make the power go out,negative
366,worry,I feel so deflated No more doggy,negative
367,sadness,Found my book Starting a real paperbound journal tonight Have an annoying zit above my lip Makes me look like I have herpes,negative
368,hate,RATT ROCKED NASHVILLE TONITEONE THING SUCKED NO ENCORE  LIKE IN THE 80S THEY STILL HAVE A FUN SHOW PEARCY HAS THAT HOTT BAD BOY LOOK,negative
369,worry,is feeling bad  just got bad news about my Mum,negative
370,sadness,RealBlackWidow But but I dun wanna,negative
371,sadness,imjustlalayone damn girl Im so down but ya gotta let me know so I can get my kit together amp I got a flyer  Any next weekend IquotM DOWN,negative
372,sadness,JustinOdom dbl booooooo for being sick flippin blows  bahaha i kno i dont have many friends on here either i feel so lame  haha,negative
373,neutral,brettyrocks thats what i was thinking but the only time its gonna be on is 1 am,neutral
374,neutral,Peeps still here Fun times Gotta sleep tho Work in the AM Some cool hot chicks here But none as cool as ____________ Missing her,neutral
375,worry,dont feel like working  I think I tweet this too often,negative
376,sadness,feels sick to my stomach and idkk whyy,negative
377,worry,vinerinimic special sau probabil un alt weekend pierdut,negative
378,neutral,Counting the hours of lost sunshine until the Weekend,neutral
379,surprise,justintevya  dude i just saw your SF pics looks like your mini excursion was pretty kick ass didnt see any sun while i was there tho,positive
380,relief,is home  safely but hungry,positive
381,sadness,hello_jodie Um I was thrown from JareWolfs van yesterday and had to be taken to the ER,negative
